user_id,date,source,amount,notes
1,2025-04-25,Delivery Job,24,
1,2025-01-06,Event Organizing,91,
1,2024-04-29,Event Organizing,86,
1,2025-06-21,Delivery Job,25,
1,2024-02-03,Delivery Job,82,
1,2025-07-06,Delivery Job,70,Aliquam non mauris.
1,2024-11-25,Event Organizing,93,In hac habitasse platea dictumst.
1,2025-05-01,Event Organizing,51,
1,2024-01-14,Event Organizing,33,Nulla facilisi.
1,2025-06-11,Event Organizing,83,Curabitur convallis.
1,2024-11-26,Delivery Job,36,
1,2024-11-01,Delivery Job,70,
1,2024-08-13,Delivery Job,96,
1,2024-11-18,Delivery Job,73,
1,2025-08-18,Delivery Job,100,Nulla nisl.
1,2024-10-12,Delivery Job,83,
1,2024-06-24,Event Organizing,38,
1,2025-02-23,Event Organizing,73,
1,2024-06-01,Delivery Job,62,
1,2024-08-06,Event Organizing,41,
1,2025-02-06,Delivery Job,29,
1,2025-06-21,Event Organizing,29,
1,2025-07-14,Delivery Job,52,
1,2024-10-06,Other,17,
1,2024-08-01,Delivery Job,54,
1,2025-01-26,Event Organizing,28,
1,2025-01-04,Delivery Job,52,
1,2024-06-25,Side Hustles,35,
1,2024-10-30,Event Organizing,26,
1,2025-07-09,Side Hustles,62,
1,2024-05-29,Event Organizing,67,
1,2025-03-05,Event Organizing,34,Etiam pretium iaculis justo.
1,2025-02-11,Event Organizing,77,Duis at velit eu est congue elementum.
1,2025-05-28,Event Organizing,89,
1,2025-02-27,Event Organizing,77,
1,2025-06-01,Delivery Job,26,
1,2025-04-24,Delivery Job,52,
1,2025-07-28,Delivery Job,49,
1,2024-03-03,Delivery Job,87,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
1,2024-06-27,Event Organizing,60,
1,2025-04-13,Delivery Job,22,
1,2025-05-01,Other,20,
1,2025-01-12,Side Hustles,19,
1,2024-05-02,Delivery Job,94,
1,2025-04-05,Event Organizing,33,
1,2024-06-24,Event Organizing,95,
1,2024-09-20,Event Organizing,22,Proin interdum mauris non ligula pellentesque ultrices.
1,2024-06-15,Event Organizing,23,
1,2025-07-22,Delivery Job,93,
1,2024-09-27,Event Organizing,94,
1,2025-01-31,Delivery Job,42,Curabitur gravida nisi at nibh.
1,2024-10-24,Event Organizing,69,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
1,2024-08-04,Delivery Job,50,
1,2024-05-20,Delivery Job,79,
1,2024-02-05,Event Organizing,65,
1,2025-08-18,Event Organizing,17,
1,2025-08-22,Delivery Job,25,
1,2024-11-05,Delivery Job,92,Curabitur gravida nisi at nibh.
1,2025-01-26,Event Organizing,40,
1,2025-05-12,Side Hustles,49,
1,2024-06-21,Delivery Job,44,
1,2025-08-08,Other,28,
1,2024-12-30,Delivery Job,46,
1,2024-04-09,Delivery Job,82,
1,2024-07-20,Delivery Job,58,
1,2024-01-10,Delivery Job,46,In eleifend quam a odio.
1,2024-01-06,Event Organizing,92,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
1,2024-09-08,Delivery Job,24,
1,2024-11-19,Event Organizing,89,
1,2024-05-06,Event Organizing,17,
1,2024-09-20,Side Hustles,85,
1,2025-07-18,Event Organizing,67,Suspendisse potenti.
1,2025-07-18,Delivery Job,70,Nullam varius.
