user_id,date,party,amount,notes,type
1,2025-07-10,Uncle Issa,40,Suspendisse potenti.,Recieved
1,2025-07-30,Landlord,50,Fusce posuere felis sed lacus.,Recieved
1,2025-05-15,Landlord,-45,,Recieved
1,2024-10-12,Sara,55,,Recieved
1,2025-03-07,Lina,80,,Recieved
1,2024-09-30,Uncle Issa,-20,,Recieved
1,2024-10-10,Lina,65,Quisque porta volutpat erat.,Recieved
1,2025-05-12,Uncle Issa,-10,In hac habitasse platea dictumst.,Recieved
1,2024-09-06,Landlord,55,,Recieved
1,2024-03-04,Lina,20,Integer non velit.,Recieved
1,2025-04-14,Lina,-30,,Recieved
1,2024-07-26,Lina,-10,Curabitur in libero ut massa volutpat convallis.,Recieved
1,2024-01-21,Uncle Issa,-40,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Recieved
1,2024-11-21,Sara,5,,Recieved
1,2025-04-09,Landlord,-25,Nulla facilisi.,Recieved
1,2024-02-26,Sara,35,Duis consequat dui nec nisi volutpat eleifend.,Recieved
1,2024-07-27,Landlord,-35,,Recieved
1,2025-04-19,Uncle Issa,-10,Duis at velit eu est congue elementum.,Recieved
1,2025-05-22,Sara,-25,,Recieved
1,2024-03-03,Sara,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Recieved
1,2025-06-21,Lina,-10,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Recieved
1,2025-08-14,Sara,50,,Recieved
1,2024-08-13,Sara,-45,,Recieved
1,2024-07-04,Sara,65,Proin eu mi.,Recieved
1,2025-04-15,Sara,10,,Recieved
1,2024-09-23,Uncle Issa,25,Ut tellus.,Recieved
1,2024-02-19,Lina,-5,,Recieved
1,2024-06-28,Sara,75,,Recieved
1,2025-01-30,Landlord,65,,Recieved
1,2024-05-10,Uncle Issa,80,,Recieved
1,2024-06-05,Uncle Issa,-10,,Recieved
1,2025-05-17,Sara,75,Phasellus sit amet erat.,Recieved
1,2025-05-02,Sara,-35,,Recieved
1,2025-02-18,Lina,30,In congue.,Recieved
1,2024-12-21,Landlord,-40,,Recieved
1,2024-07-21,Uncle Issa,5,,Recieved
1,2024-06-28,Sara,15,Cras non velit nec nisi vulputate nonummy.,Recieved
1,2024-12-08,Lina,40,Phasellus sit amet erat.,Recieved
1,2024-05-27,Sara,60,,Recieved
1,2025-01-28,Sara,15,Cras non velit nec nisi vulputate nonummy.,Recieved
1,2025-01-23,Sara,5,Suspendisse potenti.,Recieved
1,2024-12-31,Sara,70,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Recieved
1,2024-08-20,Uncle Issa,-60,Nulla tempus.,Recieved
1,2024-04-04,Landlord,-45,Nulla tellus.,Recieved
1,2025-03-12,Lina,-10,,Recieved
1,2024-04-19,Uncle Issa,5,,Recieved
1,2024-06-22,Uncle Issa,10,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Recieved
1,2024-11-22,Lina,5,Nullam molestie nibh in lectus.,Recieved
1,2025-04-05,Lina,20,Aliquam erat volutpat.,Recieved
1,2025-04-03,Sara,10,Integer ac leo.,Recieved
